"TID","EN","AR","FR","CN","CNT","DE","IT","JP","KR","PL","PT","RU","ES","FI","NL","TR","ID","TH"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"mount_glidon_01_a","Janky Glidon – Jelly","المجنح المعطوب - نموذج الجيلي","Glider rudimentaire – Prune","东拼西凑 - 水母","東拼西湊 - 水母","Ramschgleiter – Wackelpudding","Hoverskate scrauso (gelatina)","ジャンキーG - ジェリー","싸구려 글라이돈 - 젤리","Rozklekotany lotniowiec – Galareta","Planador partido (gelatina)","Кустарный глайдер — желе","Aeropatín minimalista (gelatina)","Heikko glidon – Hyytelö","Gammele zwever - gelei","Tutarsız Glidon - Jöle","Jet Ringkih – Jeli","ยานบินระหกระเหิน - เยลลี่"
"mount_glidon_01_b","Janky Glidon – Lime","المجنح المعطوب - نموذج الليمون","Glider rudimentaire – Citron vert","东拼西凑 - 酸橙","東拼西湊 - 酸橙","Ramschgleiter – Limette","Hoverskate scrauso (lime)","ジャンキーG - ライム","싸구려 글라이돈 - 라임","Rozklekotany lotniowiec – Limonka","Planador partido (limão)","Кустарный глайдер — лайм","Aeropatín minimalista (lima)","Heikko glidon – Lime","Gammele zwever - limoen","Tutarsız Glidon - Misket Limonu","Jet Ringkih – Limau","ยานบินระหกระเหิน - ไลม์"
"mount_gnarley_01_a","Gnarley Scooty – Speed Bump Moss","الدراجة النارية الخطيرة - نموذج طحالب المطبات","Bécane basique – Ralentisseur","踏板机车 - 减速带绿","踏板機車 - 減速帶綠","Toller Roller – Moosgrelle Bremsschwelle","Mo.cocicletta vintage (dosso muschiato)","クレイジースクーティー - スピードバンプモス","크레이지 스쿠터 - 과속방지턱 그린","Skuterek gnarley – Zamszony próg zwalniający","mo.toneta porreta (musgo acelerado)","Мопед — замшелый бугор","Ciclomo.cor clásico (badén musgoso)","Säntäilevä peto – Hidastustöyssysammal","Razende scooter - riskant mos","Gnarley Scooter - Kasis Yosunu","Moge Vespa – Hijau Lumut","สกูตเตอร์ฮาร์เลย์ - ลูกระนาด"
"mount_gnarley_01_b","Gnarley Scooty – Speed Limit Green","الدراجة النارية الخطيرة - نموذج أخضر السرعة","Bécane basique – Feu vert","踏板机车 - 限速区绿","踏板機車 - 限速區綠","Toller Roller – Tempolimit-Grün","Mo.cocicletta vintage (verde guida piano)","クレイジースクーティー - スピードリミットグリーン","크레이지 스쿠터 - 속도제한 그린","Skuterek gnarley – Zielone ograniczenie prędkości","mo.toneta porreta (verde-no-limite)","Мопед — зелёный светофор","Ciclomo.cor clásico (verde al límite)","Säntäilevä peto – Nopeusrajoitusvihreä","Razende scooter - hachelijk groen","Gnarley Scooter - Hız Sınırı Yeşili","Moge Vespa – Hijau Botol","สกูตเตอร์ฮาร์เลย์ - ป้ายจำกัดความเร็ว"
"mount_tuff_01_a","Wild-ish Tuff – Radish","خنزير البرية الجامح - نموذج الفجل","Brutoporc – Radis","野性坐骑- 水萝卜","野性坐騎- 水蘿蔔","Wurzelwutz – Rettich","Bistekkone semiselvatico (rapanello)","プチワイルドポーク - ラディッシュ","와일드 터프 - 래디시","Dziki twardziel – Rzodkiewka","Selva indomável (rabanete)","Диковатый хряк — редиска","Detestocino (rábano)","Villihkö porsas – Retiisi","Wildachtige Tuf - radijs","Vahşimsi Tuff - Turp","Babi Liar – Lobak Merah","หมูป่า - แรดิช"
"mount_tuff_01_b","Wild-ish Tuff – Potato","خنزير البرية الجامح - نموذج البطاطس","Brutoporc – Patate","野性坐骑 - 土豆","野性坐騎 - 馬鈴薯","Wurzelwutz – Kartoffel","Bistekkone semiselvatico (patata)","プチワイルドポーク - ジャガイモ","와일드 터프 - 포테이토","Dziki twardziel – Ziemniak","Selva indomável (batata)","Диковатый хряк — картошка","Detestocino (patata)","Villihkö porsas – Peruna","Wildachtige Tuf - aardappel","Vahşimsi Tuff - Patates","Babi Liar – Kentang","หมูป่า - โปเตโต้"
"mount_llambra_01_a","Docile Llambra – Winter Frost","لامبرا الهدوء - نموذج صقيع الشتاء","Gardien docile – Froid d'hiver","温顺座驾 - 冬日冰雪","溫順座駕 - 冬日冰雪","Wohlgesonnener Wollwidder – Frostwinter","Aries docile (brina invernale)","ピースブリンガー - ウィンターフロスト","온순한 람브라 - 윈터 포레스트","Potulna Jagienka – Zimowy szron","Aríete aprazível (gelo invernal)","Послушная ламбра — зимний мороз","Carnerito dócil (escarcha invernal)","Rauhallinen lampakka – Talvikuura","Tamme llambra - wintervorst","Uysal Llambra - Kış Ayazı","Bison Jinak – Musim Dingin","จามรีแสนเชื่อง - ลมฤดูหนาว"
"mount_llambra_01_b","Docile Llambra – Autumn Gold","لامبرا الهدوء - نموذج ذهب الخريف","Gardien docile – Feuilles d'automne","温顺座驾 - 秋日金黄","溫順座駕 - 秋日金黃","Wohlgesonnener Wollwidder – Goldherbst","Aries docile (oro autunnale)","ピースブリンガー - オータムゴールド","온순한 람브라 - 어텀 골드","Potulna Jagienka – Złota jesień","Aríete aprazível (ouro outonal)","Послушная ламбра — осеннее золото","Carnerito dócil (oro otoñal)","Rauhallinen lampakka – Syyskulta","Tamme llambra - herfstgoud","Uysal Llambra - Altın Güz","Bison Jinak – Musim Gugur","จามรีแสนเชื่อง - ใบไม้แดงอร่าม"
"mount_screechums_01_a","Hungry Screechums – Dusty Rocks","خفاش الجنون - نموذج صخور الغبار","Hurleur vorace – Tronc d'arbre","饥饿飞魔 - 尘土覆盖","飢餓飛魔 - 塵土覆蓋","Hungriger Grabsteinheuler – Geröll","Demone della sciagura affamato (roccia)","ハングリーデビル - ダスティロック","헝그리 배트몬 - 흙투성이 바위","Głodne wyjce – Piaszczyste kamienie","Fome flutuante (rochas rochosas)","Голодный крикляк — пыльные камни","Revoloteo hambriento (arenisca)","Nälkäiset kirskut – Hiekkaiset kivet","Hongerige krijser - stoffig steen","Aç Screechums - Toz Toprak","Kelelawar Lapar – Tanah Tandus","มารร้ายหิวโหย - หินคลุกฝุ่น"
"mount_screechums_01_b","Hungry Screechums – Broken Boulders","خفاش الجنون - نموذج الصخور المحطمة","Hurleur vorace – Rocher brisé","饥饿飞魔 - 粉碎岩石","飢餓飛魔 - 粉碎岩石","Hungriger Grabsteinheuler – Steinbruch","Demone della sciagura affamato (mirtillo)","ハングリーデビル - ブロークンボルダー","헝그리 배트몬 - 무너진 경계","Głodne wyjce – Zniszczone kamulce","Fome flutuante (pedriscos)","Голодный крикляк — разбитый булыжник","Revoloteo hambriento (guijarro)","Nälkäiset kirskut – Hajonneet lohkareet","Hongerige krijser - gebroken rots","Aç Screechums - Kaya Parçaları","Kelelawar Lapar – Bongkahan Batu","มารร้ายหิวโหย - ศิลาพ่าย"
"mount_wisp_01_a","Careless Wisp – Milk Chocolate","العثة الطائشة - نموذج الحليب بالشوكولاتة","Phalabelle – Chocolat blanc","不羁精灵 - 牛奶巧克力","不羈精靈 - 牛奶巧克力","Sorgloses Irrlicht – Milchschokolade","Koleotterus spavaldo (cioccolato al latte)","ケアレスウィスプ - ミルクチョコレート","덜렁이 플라이 - 밀크 초콜릿","Nieostrożna smuga – Czekolada mleczna","Traça intrépida (chocolate branco)","Беспечный мотылёк — молочный шоколад","Intrepiavispa (chocolate blanco)","Hellä kimalainen – Maitosuklaa","Vlindervlieg - melkchocolade","Sakar Meşale - Sütlü Çikolata","Ngengat – Cokelat Susu","แมลงเลินเล่อ - มิลค์ช็อคโกแลต"
"mount_wisp_01_b","Careless Wisp – Chocolate Milk","العثة الطائشة - نموذج الشوكولاتة بالحليب","Phalabelle – Chocolat au lait","不羁精灵 - 巧克力牛奶","不羈精靈 - 巧克力牛奶","Sorgloses Irrlicht – Schokoladenmilch","Koleotterus spavaldo (latte al cioccolato)","ケアレスウィスプ - チョコレートミルク","덜렁이 플라이 - 초콜릿 밀크","Nieostrożna smuga – Czekoladowe mleko","Traça intrépida (chocolate com leite)","Беспечный мотылёк — шоколадное молоко","Intrepiavispa (chocolate con leche)","Hellä kimalainen – Suklaamaito","Vlindervlieg - chocolademelk","Sakar Meşale - Çikolatalı Süt","Ngengat – Susu Cokelat","แมลงเลินเล่อ - ช็อคโกแลตมิลค์"
"TID_W00_OA01_6","oooops! I actually have some more hunting for you to do...<BR/>but hurry, I got somewhere to be...","يا خبر! في الواقع لديّ المزيد من أعمال الصيد لك...<BR/>لكن أسرع، علىّ الذهاب إلى مكان ما...","oups ! j'ai d'autres missions pour toi, j'ai failli oublier !<BR/>mais faisons ça vite, j'ai d'autres chats à fouetter !","哦，对了！其实我还真有些狩猎任务要拜托你...<BR/>动作要快，我晚点还要去别的地方...","喔對了！其實我還真有一些狩獵任務要拜託你...<BR/>動作要快，我等等還要去別的地方...","Uuups! Ich habe tatsächlich noch etwas für dich zu jagen ...<BR/>Aber halt dich ran, ich muss noch wo hin ...","ah quasi dimenticavo! in realtà, ho qualche altro lavoretto da cacciamostri per te...<BR/>sbrigati però, che ho da fare...","そうだ、もう1個ハントのお願いをしてもいいかな...？<BR/>この後用事があるから、あまり時間がないんだけど...","아참! 헌터님이 해야 하는 사냥이 좀 더 있어요...<BR/>서두르세요. 제가 꽤나 바빠서 말이죠...","upssss! muszę ci zlecić jeszcze trochę polowania...<BR/>spręż się, bo mam coś do zrobienia...","ooops, tem mais tarefas pra você!<BR/>então vamos logo pq preciso sair já, já.","ой слушай! вообще-то у меня есть ещё кое-какая работа для тебя...<BR/>только давай быстрее, а то мне надо бежать...","uuups! necesito que caces un poco más...<BR/>pero date prisa, que tengo cosas que hacer...","hupsss! mulla on sulle itse asiassa vähän lisää metsästettävää...<BR/>mutta toimi nopeasti, mullakin on jo kiire...","oeeeps! ik heb eigenlijk nog wat jachtwerk voor je...<BR/>ik heb een afspraak, dus een beetje tempo graag...","hay aksi! biraz daha avlanmanı isteyeceğim...<BR/>ama acele et, yetişmem gereken bir yer var...","uuups! ada beberapa target lagi yang harus kamu buru ...<BR/>jangan lama-lama, aku sudah ada janji ...","อุ๊บส์! ฉันมีงานล่าให้คุณทำเพิ่มแหละ...<BR/>แต่รีบหน่อยก็ดีนะ ฉันมีธุระต้องไปทำต่อ..."
"TID_W00_OA01_6_REPLY","Alright alright!","حسنًا، حسنًا!","Ok, ok !","好吧好吧！","好啦好啦！","Schon gut, schon gut!","va bene, va bene!","それならすぐに向かうよ！","알겠어요!","Spokojnie!","Tá bom! Já vou!","Ладно-ладно!","Voy!","Okei okei!","Oké oké!","Sorun değil!","Oke oke!","ก็ได้ ก็ได้!"
"TID_W00_OA01_7","chaos never sleeps... so we really have to be on top of it. <BR/>will it ever end?","الفوضى لا تهدأ أبدًا... لذا يجب علينا السيطرة عليها.<BR/>هل سينتهي ذلك أبدًا؟","le chaos ne prend pas de congés... et nous non plus.<BR/>je me demande si ça finira, un jour.","混沌永不眠...那我们也得继续。<BR/>什么时候是个头啊？","混沌不睡覺...那我們也得繼續。<BR/>什麼時候才能結束啊？","Das Chaos schläft ja bekanntlich nie. Wir müssen also wirklich auf der Hut sein.<BR/>Wird es jemals enden?","il caos non dorme mai... quindi dobbiamo proprio impegnarci per tenerlo a bada.<BR/>finirà mai questa storia?","こうしている間にもカオスは広がっているわ<BR/>だから急がないと...<BR/>私たちの戦いが終わる日は来るのかしら？","카오스는 결코 잠드는 법이 없죠... 그러니 늘 긴장을 늦추지 말아야 해요.<BR/>그나저나 침략이 끝나기는 할까요?","chaos nigdy nie śpi... musimy mieć się na baczności.<BR/>czy to się kiedyś skończy?","o caos tá sempre alerta, então tb não podemos dormir no ponto.<BR/>será que isso nunca vai acabar?","хаос не дремлет... так что нам нельзя расслабляться.<BR/>когда уже это закончится...","el caos nunca duerme, así que debemos estar siempre alerta.<BR/>terminará esto algún día?","kaaos ei koskaan nuku... eli meidän pitää pysyä sen edellä.<BR/>loppuuko se koskaan?","de chaos houdt nooit op... dus we moeten er constant tegen vechten. <BR/>komt er ooit een einde aan?","kaos uyumaz... her zaman kontrol altında tutmalıyız.<BR/>hiç sonu gelecek mi acaba?","Huru-hara tak pernah usai ... jadi kita tidak boleh lengah.<BR/>apakah kedamaian akan benar-benar bisa kembali?","เคออสไม่เคยหลับใหล... เราจึงต้องคอยจัดการมันอยู่เสมอ<BR/>มันจะมีวันหยุดบ้างไหมนะ?"
"TID_W00_OA01_7_REPLY","Are you sure you're ok?","هل أنت متأكدة أنك بخير؟","Euh, ça va ?","你还好吗？","你還好嗎？","Bist du sicher, dass es dir gut geht?","sei sicura di stare bene?","ルナ、大丈夫？","정말 괜찮은 거 맞죠?","Na pewno wszystko w porządku?","Tem certeza de que está tudo bem?","У тебя точно всё хорошо?","te encuentras bien?","Onko kaikki ok?","Is alles wel oké?","Sen iyi misin?","Kamu gak apa-apa?","แน่ใจนะว่าคุณไม่เป็นไร?"
"TID_W00_OA01_8","don't worry about it...<BR/>just a lot going on. when life gives you lemons, I guess...","لا داعي للقلق...<BR/>الأمر وما فيه، لديّ كثير من المشاغل. كما يقول المثل، عندما ترميك الحياة بالليمون...","tqt...<BR/>je suis juste un peu débordée, mais ça ira !","我还好...<BR/>只是最近事太多了。那首诗怎么说来着，假如生活欺骗了你...","我還好...<BR/>只是最近事太多了。那句話怎麼說來著，如果生命給你一顆檸檬...","Keine Sorge!<BR/>Es ist einfach viel los. Wenn das Leben dir Zitronen gibt ... du weißt schon ...","non preoccuparti...<BR/>ho solo un sacco di pensieri per la testa. del resto, sai come si dice: quando si è in ballo...","心配しないで...<BR/>ちょっと色々あってね<BR/>でも、人生七転び八起きって言うじゃない？","걱정하지 마세요...<BR/>그냥 이런저런 일이 좀 있어서 그래요. 삶이 저에게 레몬을 주면, 아마도...","to nic takiego...<BR/>po prostu dużo się dzieje. ale kiedy życie daje ci cytryny...","deixa pra lá...<BR/>tô com muita coisa na cabeça, acho que a vida me deu limões demais...","да не волнуйся...<BR/>просто накопилось всякое. ничего, как-нибудь выгребу...","no te preocupes...<BR/>tengo mucho en que pensar. si la vida te da limones, ya sabes...","älä huoli...<BR/>on vaan kiireitä. kun elämä antaa sitruunoita...","maak je geen zorgen...<BR/>er is gewoon veel aan de hand. tja, als het leven je citroenen geeft...","iyiyim, endişelenme...<BR/>sadece çok fazla olup biten şey var. sanki biri her işime limon sıkıyor...","Gak apa-apa ...<BR/>cuma lagi banyak pikiran. ada banyak yang harus dipikirkan ...","อย่าห่วงไปเลย...<BR/>แค่ช่วงนี้มีอะไรให้คิดเยอะน่ะ ก็ปัญหาชีวิตน่ะนะ..."
"TID_W00_OA01_8_REPLY","Maybe you need a nice cold lemonade?","ربما تحتاجي إلى عصير ليمون بارد منعش؟","tu pourrais aller prendre l'air ?","相信吧，快乐的日子将会来临？","或許你需要一杯超級好喝的冰檸檬水？","Apropos: Hättest du Lust auf eine eiskalte Limonade?","bisogna ballare e magari anche andare a tempo?","たまには休むことも大切だよ","시원한 레모네이드를 만들면 되죠!","Może szklanka zimnej lemoniady dobrze by ci zrobiła.","É hora de fazer uma bela limonada!","Дать весло?","¿Prepara una rica limonada?","Tekisikö lasi sitruunalimua hyvää?","Wil je misschien wat limonade?","Biz de limonata yaparız o zaman?","Mungkin minuman dingin bisa membantu?","ชาไข่มุกเย็นๆ สักแก้วช่วยได้มั้ย?"
"TID_W00_OA01_9","yeah!<BR/>if it only was that simple...<BR/>a bit more hunting and I think the invasion should be handled!<BR/>u r doing great btw!","نعم!<BR/>لو كان الأمر بهذه البساطة...<BR/>المزيد من الصيد ويفترض أن نسيطر على الغزو.<BR/>بالمناسبة، أحسنت عملاً!","si seulement c'était aussi simple, mdr !<BR/>bon, un peu plus de chasse et on devrait venir à bout de cette invasion !<BR/>tu gères, au fait !","没错！<BR/>要真的这么简单就好了...<BR/>再多狩猎一些怪物，入侵应该就能控制住了！<BR/>对了，你的工作很出色！","沒錯！<BR/>要真的這麼簡單就好了...<BR/>再多狩獵一些怪物，入侵應該就能控制住了！<BR/>對了，你的工作做得很棒！","Tja ...<BR/>Wenn es nur so einfach wäre!<BR/>Ein bisschen mehr jagen und ich denke, die Invasion sollte erledigt sein!<BR/>Du machst das übrigens ganz großartig!","esatto!<BR/>se solo fosse così semplice...<BR/>bando alle ciance, c'è da far fuori qualche altro mostro e poi penso che avremo l'invasione sotto controllo!<BR/>comunque, stai andando alla grande!","それはその通りね！<BR/>でも、そんなに単純な問題じゃないんだ...<BR/>さ、ハントを続けましょう！<BR/>あと少しで侵略を止められるはずよ！<BR/>今回も期待してるわ！","그러게요!<BR/>그렇게 간단했다면 말이죠...<BR/>사냥을 조금만 더 하면 침략을 막을 수 있을 것 같아요!<BR/>그나저나 헌터님, 정말 잘 하고 계세요!","pewnie!<BR/>gdyby tylko było tak łatwo...<BR/>jeszcze tylko trochę polowania i ta inwazja powinna być pod kontrolą.<BR/>świetnie sobie radzisz!","sim!<BR/>mas seria bom ter um espremedor...<BR/>falta pouco pra deter a invasão!<BR/>falando nisso, vc tá mandando muito bem!","ахаха<BR/>если бы всё было так просто...<BR/>зато ещё пара охот и вторжение будет сдержано!<BR/>у тебя круто получается кстати!","exacto!<BR/>aunque ojalá fuera tan fácil...<BR/>creo que, si seguimos a este ritmo, no tardaremos en controlar la invasión<BR/>lo estás haciendo genial, por cierto!","joo!<BR/>olisikin niin helppoa...<BR/>vielä vähän metsästystä ja hyökkäys on hoideltu!<BR/>sä pärjäät btw super hyvin!","ja!<BR/>was het maar zo simpel...<BR/>nog een beetje jagen om een einde aan die invasie te maken!<BR/>je doet het geweldig btw!","haha!<BR/>keşke o kadar kolay olsa...<BR/>biraz daha avlanırsak istilayı durdururuz gibi görünüyor!<BR/>bu arada çok iyi gidiyorsun!","mungkin!<BR/>andai saja minuman dingin bisa mengakhiri semua ini ...<BR/>kita cuma bisa terus berburu sambil mencari cara untuk mengakhiri invasi ini.<BR/>kerjamu sudah sangat membantu!","ได้ก็ดี!<BR/>ถ้ามันแก้ได้ง่ายขนาดนั้นอ่ะนะ...<BR/>ออกล่าอีกสักหน่อยก็น่าจะควบคุมการรุกรานได้แล้ว ฉันว่านะ!<BR/>ว่าไปแล้วคุณก็เก่งนะ!"
"TID_W00_OA01_9_REPLY","Thanks Luna!","شكرًا يا لونا!","Merci, Luna !","谢了露娜！","謝了露娜！","Danke, Luna!","Grazie, Luna!","ありがとう、ルナ！","고마워요, 루나!","Dzięki, Luna!","Valeu, Luna!","Спасибо, Луна!","Gracias, Luna!","Kiitos Luna!","Dank je, Luna!","Sağ ol Luna!!","Terima kasih, Luna!!! <3","ขอบคุณนะ ลูน่า!"
"TID_W00_OA01_10","that should do it for now. now it's my turn... <BR/>cya later!","هذا يفي بالغرض حاليًا. الآن حان دوري... <BR/>أراك لاحقًا!","ça devrait suffire pour l'instant. à mon tour...<BR/>ciao !","目前这样就差不多了，接下来就交给我吧...<BR/>回头见！","目前這樣就差不多了，接下來就交給我吧...<BR/>等等見！","Das sollte für den Augenblick reichen. Jetzt muss ich aber los! Bis später!","per adesso va bene così. adesso tocca a me...<BR/>ci vediamo!","これでひと段落ね！<BR/>後は私の仕事だけだわ...<BR/>じゃあまた後で！","지금은 이 정도면 될 것 같아요. 이제 제 차례네요...<BR/>그럼 나중에 봐요!","chyba na razie to wszystko. teraz moja kolej...<BR/>na razie!","por enquanto, é isso. agora é minha vez...<BR/>até mais!","пока что хватит. а теперь моя очередь...<BR/>до встречи!","ya está bien por hoy. ahora me toca a mí...<BR/>nos vemos!","pitäisi riittää toistaiseksi. mun vuoro...<BR/>näkyillään!","dat zou voor nu genoeg moeten zijn. nu is het mijn beurt... <BR/>zie je later!","şimdilik bu kadar yeter. biraz da ben çalışayım...<BR/>görüşürüz!","itu saja. sekarang giliranku beraksi ...<BR/>dadah!","น่าจะได้ละ ถึงตาฉันบ้างคราวนี้... <BR/>แล้วเจอกันจ้า!"
"TID_W00_OA01_10_REPLY","Bye! Please take care!","إلى اللقاء! أرجوك، اعتني بنفسك!","Ciao ! Fais attention à toi !","好，要多保重啊！","好，要多保重啊！","Ciao! Bitte pass auf dich auf!","Ciao e sta' attenta!","了解！気を付けてね！","잘가요! 그리고 조심해요!","Pa! Bądź ostrożna!","Xau! Se cuida, hein!","Пока! Береги себя!","Adiós, ¡ve con cuidado!","Heippa! Pidä huolta itsestäsi!","Doei! Pas goed op jezelf!","Görüşürüz! Kendine iyi bak!","Dadah! Titi dj, ya!","บาย! ดูแลตัวเองด้วยนะ!"
"TID_GEAR_CHEST_POPUP_NO_REWARD","ALL GEAR IS ALREADY MAXED OUT! NO REWARDS :(","العتاد كله في الحد الأقصى! لا مكافآت :(","TON MATOS EST DÉJA AU MAX ! PAS DE RÉCOMPENSES:(","所有装备均已满级，所以没有奖励了QAQ","所有裝備均已滿級，所以沒有獎勵了QAQ","DIE GESAMTE AUSRÜSTUNG IST BEREITS MAXIMAL VERBESSERT – KEINE BELOHNUNG! :(","TUTTO L'EQUIPAGGIAMENTO È GIÀ AL MASSIMO! NIENTE RICOMPENSE :(","すべてのギアが最大まで強化されているため報酬はありません(>_<)","모든 기어가 이미 최대 레벨입니다! 보상은 없어요... :(","CAŁY SPRZĘT NA MAKSYMALNYM POZIOMIE! NIE MAMY WIĘCEJ NAGRÓD :(","EQUIPAMENTOS NO NÍVEL MÁXIMO! NÃO HÁ RECOMPENSAS... :(","ВСЁ СНАРЯЖЕНИЕ УЖЕ ДОСТИГЛО МАКСИМАЛЬНОГО УРОВНЯ! НАГРАД НЕТ :(","¡TODO EL EQUIPO ESTÁ AL NIVEL MÁXIMO! NO HAY RECOMPENSAS. :(","KAIKKI VARUSTEET OVAT JO KORKEIMMALLA TASOLLA! EI PALKINTOJA :(","ALLE UITRUSTING IS AL OP HET MAXIMUM! GEEN BELONINGEN :(","TÜM EŞYALAR ZATEN MAKSİMUMDA! ÖDÜL ALAMADIN :(","SEMUA PERLENGKAPAN SUDAH MAKSIMUM! TIDAK ADA HADIAH :(","เกียร์ทั้งหมดถึงเลเวลสูงสุดแล้ว! ไม่มีรางวัลให้ :("
