"TID","EN","AR","FR","CN","CNT","DE","IT","JP","KR","PL","PT","RU","ES","FI","NL","TR","ID","TH"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_02","Defeat AXIS in <TIME> or less","اهزم آكسيس خلال <TIME> أو اقل.","Éliminer AXIS en moins de <TIME>","在<TIME>或更短时间内击倒中轴","在<TIME>以內擊殺中軸","Bewältige AXIS in höchstens <TIME>!","Sconfiggi AXIS in <TIME> o meno","アクシスを<TIME>以内に倒す","<TIME> 이내에 액시스 물리치기","Pokonaj AKSISA w <TIME> lub szybciej","Derrote ÁXIS em até <TIME>","Победи АКСИСА за <TIME> или быстрее","Derrota al axis en <TIME> o menos","Päihitä AKSELI ajassa <TIME> tai nopeammin","Versla AXIS in <TIME> of minder.","<TIME> veya daha kısa sürede AKSİS yok et","Kalahkan AXIS dalam <TIME> atau kurang","เอาชนะแอคซิสในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_03","Defeat TIDEMASTER in <TIME> or less","اهزم أمير البحار خلال <TIME> أو أقل.","Éliminer MAÎTRE DES VAGUES en moins de <TIME>","在<TIME>或更短时间内击倒唤潮者","在<TIME>以內擊殺喚潮者","Bewältige GEZEITENMEISTER in höchstens <TIME>!","Sconfiggi il SIGNORE DELLE MAREE in <TIME> o meno","タイドマスターを<TIME>以内に倒す","<TIME> 이내에 조류 마스터 물리치기","Pokonaj WŁADCĘ FAL w <TIME> lub szybciej","Derrote BICHANO DO MAR em até <TIME>","Победи ВЛАДЫКУ ВОЛН за <TIME> или быстрее","Derrota al señor de las mareas en <TIME> o menos","Päihitä VUOROVESIMESTARI ajassa <TIME> tai nopeammin","Versla de TIJMEESTER in <TIME> of minder.","<TIME> veya daha kısa sürede MEDCEZİR UZMANI yok et","Kalahkan MEONG OMBAK dalam <TIME> atau kurang","เอาชนะเหมียวเจ้าสมุทรในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_04","Close the MEGA INVASION PORTAL in <TIME> or less","أغلق بوابة الغزو العملاقة خلال <TIME> أو أقل.","Fermer le MÉGA PORTAIL D'INVASION en moins de <TIME>","在<TIME>或更短时间内关闭超大入侵传送门","在<TIME>以內關閉超大入侵傳送門","Bewältige MEGA-INVASIONSPORTAL in höchstens <TIME>!","Chiudi il MEGAPORTALE D'INVASIONE in <TIME> o meno","メガ侵略ポータルを<TIME>以内に閉じる","<TIME> 이내에 메가 침략 포털 닫기","Zamknij MEGA PORTAL INWAZJI w <TIME> lub szybciej","Feche MEGAPORTAL DE INVASÃO em até <TIME>","Закрой МЕГАПОРТАЛ ВТОРЖЕНИЯ за <TIME> или быстрее","Cierra el megaportal de invasión en <TIME> o menos","Sulje MEGAHYÖKKÄYSPORTAALI ajassa <TIME> tai nopeammin","Sluit het MEGA-INVASIEPORTAAL in <TIME> of minder.","<TIME> veya daha kısa sürede MEGA İSTİLA PORTALINI kapat","Tutup PORTAL INVASI MEGA dalam <TIME> atau kurang","ปิดประตูมิติรุกรานเมก้าในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_05","Complete WAVE MACHINE in <TIME> or less","أكمل ماكينة الأمواج خلال <TIME> أو أقل.","Terminer MACHINE À VAGUES en moins de <TIME>","在<TIME>或更短时间内通关攻势如潮","在<TIME>以內通關攻勢如潮","Schließe WELLENMASCHINE in höchstens <TIME> ab!","Supera \qONDATE A NASTRO\q in <TIME> o meno","ウェーブマシンを<TIME>以内にクリアする","<TIME> 이내에 웨이브 머신 클리어하기","Ukończ GENERATOR FAL w <TIME> lub szybciej","Conclua MÁQUINA DE MAREMOTO em até <TIME>","Пройди «ГЕНЕРАТОР ВОЛН» за <TIME> или быстрее","Completa Máquina de olas en <TIME> o menos","Suorita AALTOKONE ajassa <TIME> tai nopeammin","Voltooi GOLVENMACHINE in <TIME> of minder.","<TIME> veya daha kısa sürede DALGA MAKİNESİNİ tamamla","Selesaikan MESIN GELOMBANG dalam <TIME> atau kurang","เล่นเครื่องปล่อยระลอกรุกรานให้เสร็จในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_06","Defeat MEGA TOXIC SPITTER in <TIME> or less","اهزم البصّاق السام العملاق خلال <TIME> أو أقل.","Éliminer MÉGA CRACHEUR TOXIQUE en moins de <TIME>","在<TIME>或更短时间内击倒超大剧毒喷射怪","在<TIME>以內擊殺超大劇毒噴射怪","Bewältige MEGA-GIFTSPUCKER in höchstens <TIME>!","Sconfiggi il MEGASPUTACCHIATORE TOSSICO in <TIME> o meno","メガ毒スピッターを<TIME>以内に倒す","<TIME> 이내에 메가 독성 스피터 물리치기","Pokonaj MEGA TRUJĄCEGO PRYCHACZA w <TIME> lub szybciej","Derrote MEGACUSPIDOR TÓXICO em até <TIME>","Победи ЯДОВИТОГО МЕГАПЛЕВУНА за <TIME> или быстрее","Derrota al megaescupidor tóxico en <TIME> o menos","Päihitä MEGAMYRKKYSYLKIJÄ ajassa <TIME> tai nopeammin","Versla de GIFTIGE MEGA-SPUWER in <TIME> of minder.","<TIME> veya daha kısa sürede MEGA ZEHİRLİ ATICI yok et","Kalahkan SPITTA BERACUN MEGA dalam <TIME> atau kurang","เอาชนะจอมพ่นพิษเมก้าในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_07","Defeat DEADEYE in <TIME> or less","اهزم القناص المحترف خلال <TIME> أو أقل.","Éliminer TORVŒIL en moins de <TIME>","在<TIME>或更短时间内击倒狙击手","在<TIME>以內擊殺狙擊手","Bewältige SCHARFSCHÜTZE in höchstens <TIME>!","Sconfiggi l'OCCHIO DI LINCE in <TIME> o meno","デッドアイを<TIME>以内に倒す","<TIME> 이내에 명사수 물리치기","Pokonaj STRZELCA WYBOROWEGO w <TIME> lub szybciej","Derrote GATUNO em até <TIME>","Победи СТРЕЛКА за <TIME> или быстрее","Derrota al parche en <TIME> o menos","Päihitä KUOLONSILMÄ ajassa <TIME> tai nopeammin","Versla DOODSOOG in <TIME> of minder.","<TIME> veya daha kısa sürede KESKİN NİŞANCI yok et","Kalahkan Meong Jeli dalam <TIME> atau kurang","เอาชนะเหมียวยิงแม่นในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_08","Defeat THE PRINCE in <TIME> or less","اهزم الأمير خلال <TIME> أو أقل.","Éliminer LE PRINCE en moins de <TIME>","在<TIME>或更短时间内击倒王子","在<TIME>以內擊殺王子","Bewältige DER PRINZ in höchstens <TIME>!","Sconfiggi il PRINCIPE in <TIME> o meno","プリンスを<TIME>以内に倒す","<TIME> 이내에 프린스 물리치기","Pokonaj KSIĘCIA w <TIME> lub szybciej","Derrote PRÍNCIPE em até <TIME>","Победи ПРИНЦА за <TIME> или быстрее","Derrota al principito en <TIME> o menos","Päihitä PRINSSI ajassa <TIME> tai nopeammin","Versla DE PRINSES in <TIME> of minder.","<TIME> veya daha kısa sürede PRENS yok et","Kalahkan PANGERAN dalam <TIME> atau kurang","เอาชนะเจ้าชายในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_09","Defeat SPIN SLAYER in <TIME> or less","اهزم سفاح الدوران خلال <TIME> أو أقل.","Éliminer FAUCHEUR TOURNEUR en moins de <TIME>","在<TIME>或更短时间内击倒旋风兽","在<TIME>以內擊殺旋風獸","Bewältige VERDREHTER VERNICHTER in höchstens <TIME>!","Sconfiggi il SICARIO ROTANTE in <TIME> o meno","スピンスレイヤーを<TIME>以内に倒す","<TIME> 이내에 스핀 슬레이어 물리치기","Pokonaj WIRUJĄCEGO RZEŹNIKA w <TIME> lub szybciej","Derrote ALGOZ GIRATÓRIO em até <TIME>","Победи ВИХРЕРЕЗА за <TIME> или быстрее","Derrota al segador giratorio en <TIME> o menos","Päihitä KIERREVIILTÄJÄ ajassa <TIME> tai nopeammin","Versla de SPINSMOOR in <TIME> of minder.","<TIME> veya daha kısa sürede DÖNER BİÇER yok et","Kalahkan SLAYA BERPUTAR dalam <TIME> atau kurang","เอาชนะพลสังหารหมุนติ้วในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_10","Defeat GRAND LIBRARIAN in <TIME> or less","اهزم أمين المكتبة الكبير خلال <TIME> أو أقل.","Éliminer BIBLIOTHÉCAIRE SUPÉRIEUR en moins de <TIME>","在<TIME>或更短时间内击倒大图书馆管理员","在<TIME>以內擊殺大圖書館管理員","Bewältige GROSSER BIBLIOTHEKAR in höchstens <TIME>!","Sconfiggi il GRAN BIBLIOTECARIO in <TIME> o meno","魔導司書を<TIME>以内に倒す","<TIME> 이내에 그랜드 사서 물리치기","Pokonaj WIELKIEGO BIBLIOTEKARZA w <TIME> lub szybciej","Derrote GRANDE BIBLIOTECÁRIO em até <TIME>","Победи ГЛАВНОГО БИБЛИОТЕКАРЯ за <TIME> или быстрее","Derrota al gran bibliotecario en <TIME> o menos","Päihitä SUURKIRJASTONHOITAJA ajassa <TIME> tai nopeammin","Versla de GROTE BIBLIOTHECARIS in <TIME> of minder.","<TIME> veya daha kısa sürede BÜYÜK KÜTÜPHANECİ yok et","Kalahkan PUSTAKAWAN AGUNG dalam <TIME> atau kurang","เอาชนะบรรณารักษ์ห้องสมุดโอ่โถงในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_WITH_TIME_CH02_DG_12","Defeat SNOWBALL in <TIME> or less","اهزم كرة الثلج العملاقة خلال <TIME> أو أقل.","Éliminer BOULE DE NEIGE en moins de <TIME>","在<TIME>或更短时间内击倒雪球","在<TIME>以內擊殺雪球","Bewältige SCHNEEBALL in höchstens <TIME>!","Sconfiggi la PALLA DI NEVE in <TIME> o meno","スノーボールを<TIME>以内に倒す","<TIME> 이내에 스노볼 물리치기","Pokonaj KULĘ ŚNIEGU w <TIME> lub szybciej","Derrote BOLA DE NEVE em até <TIME>","Победи ГИГАНТСКИЙ СНЕЖОК за <TIME> или быстрее","Derrota a la bola de nieve en <TIME> o menos","Päihitä JÄTTILUMIPALLO ajassa <TIME> tai nopeammin","Versla SNEEUWBAL in <TIME> of minder.","<TIME> veya daha kısa sürede KARTOPU tok et","Kalahkan MEONG SALJU dalam <TIME> atau kurang","เอาชนะเหมียวบอลหิมะในระยะเวลา <TIME> หรือน้อยกว่า"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_MANNY_ESCORT_DUNGEON","Escort Manny to the Rift Passage","رافق ماني إلى ممر الصدع.","Escorter Manny jusqu'au passage de faille","将曼尼护送到裂谷入口","將曼尼護送到裂谷入口","Eskortiere Manny zur Riftpassage!","Scorta Manny al punto d'accesso","マニーをリフトの道へ誘導する","매니를 리프트 통로로 호위하기","Eskortuj Manny'ego do przesmyku w rozpadlinie","Escolte o Manny até a passagem do rifte","Сопроводи Мэнни к проходу через разлом","Escolta a Manny hasta el pasaje de grieta","Saata Manny Kuilukäytävään","Begeleid Manny naar de riftdoorgang.","Geçit yoluna kadar Manny'ye eşlik et","Kawal Manny ke Jalan Vorteks","คุ้มกันแมนนี่ไปยังเส้นทางรอยแยกมิติ"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_JAX_SOLDIER_DUNGEON","Help Jax defeat GUARDIAN JUGGLER","ساعد جاكس في هزيمة الحاوي الحارس.","Aider Jax à éliminer GARDE-JONGLEUR","帮贾克斯击倒护卫杂耍怪","幫賈克斯擊殺護衛雜耍怪","Hilf Jax, die JONGLEURWACHE zu besiegen!","Aiuta Jax a sconfiggere il GIOCOLIERE GUARDIANO","ジャックスがガーディアンジャグラーを倒すのに協力する","잭스를 도와 가디언 저글러 물리치기","Pomóż Jaxowi pokonać ŻONGLERA STRAŻNIKA","Ajude o Jax a derrotar MALABARISTA GUARDA","Помоги Джаксу победить ЖОНГЛЁРА-СТРАЖА","Ayuda a Jax a derrotar al juglar guardián","Auta Jaxia päihittämään VARTIJAJONGLÖÖRI","Help Jax de BESCHERMER-KEILER te verslaan.","Jax'in MUHAFIZ HOKKABAZI yok etmesine yardım et","Bantu Jax menumbangkan JUGGLO JAGAL","ช่วยแจ็กซ์เอาชนะพลเล่นไฟผู้พิทักษ์"
"TID_COMPLETE_DUNGEON_TASK_DESC_CH02_LUNA_SOLDIER_DUNGEON","Bring Luna back!","أعد لونا!","Ramener Luna !","把露娜带回来！","把露娜帶回來！","Bring Luna zurück!","Riporta Luna a casa!","ルナを救い出す","루나를 다시 데려오기!","Sprowadź z powrotem Lunę!","Traga a Luna de volta!","Верни Луну!","¡Salva a Luna!","Pelasta Luna!","Breng Luna terug!","Luna'yı geri getir!","Bawa Luna kembali!","พาลูน่ากลับมา!"
"TID_PROTECT_HARVESTER_EVENT_M","Harvester Handymen","صنائعيو الحواصد","Récolteur à tout faire","采集器技师","採集器技師","Erntehelfer","Tuttofare raccoglitori","ハーベスターハンディマン","수집기 수리공","Mechanicy kombajnu","Técnicos das colheitadeiras","Слесари по сборщикам","Mecánicos de cosechadoras","Kerääjä-apumiehet","Oogster-klussers","Hasatçı Tamirci","Teknisi Pemanen","ช่างซ่อมเครื่องเก็บเกี่ยว"
"TID_SCOOTER_M","Neck Breakers","كاسرو الرقاب","Brise-cous","断颈怪","斷頸怪","Halsbrecher","Spezzacollo","ネックブレイカー","넥 브레이커","Karkołomniaki","Esmaga-goelas","Шееломки","Fracturacuellos","Niskanmurtajat","Nekkenbrekers","Boyun Kıran","Neckie","จอมหักคอ"
"TID_PINKYBRUISER_BODY_EPIC_FEMALE_01_C","Blitzstorm Battle Bunny – Berry","أرنب المعركة العاصفة – نموذج التوت","Lapinou de bataille - Fruit rouge","雷暴突击兔 - 小浆果","雷暴突擊兔 - 小莓果","Kampfkarnickel Donnerwetter – Beere","Coniglio da guerra (bacca)","ブリッツストームバトルバニー - ベリー","블리츠스톰 배틀 버니 - 베리","Bojowy króliczek – Jagódka","Coelho caótico (frutas vermelhas)","Орден боевых кроликов — ягода","Conejito de batalla (moras)","Ukkosmyrskyn taistelupupu – Marjaisa","Strijdkonijn - bes","Savaş Tavşanı - Böğürtlen","Pendekar Kelinci Blitzstorm – Beri","หน่วยรบกระต่ายฟ้าแลบ - เบอร์รี่"
"TID_PINKYBRUISER_BODY_EPIC_FEMALE_01_D","Blitzstorm Battle Bunny – Graytail","أرنب المعركة العاصفة – نموذج الذيل الرمادي","Lapinou de bataille - Chat gris","雷暴突击兔 - 灰尾巴","雷暴突擊兔 - 灰尾巴","Kampfkarnickel Donnerwetter – Grauschweif","Coniglio da guerra (coda grigia)","ブリッツストームバトルバニー - グレイテイル","블리츠스톰 배틀 버니 - 그레이테일","Bojowy króliczek – Szaraczek","Coelho caótico (nuvem cinza)","Орден боевых кроликов — серый хвост","Conejito de batalla (nube grisácea)","Ukkosmyrskyn taistelupupu – Harmaahäntä","Strijdkonijn - grijsstaart","Savaş Tavşanı - Gri Kuyruk","Pendekar Kelinci Blitzstorm – Ekor Abu-Abu","หน่วยรบกระต่ายฟ้าแลบ - เกรย์เทล"
"TID_PINKYBRUISER_BODY_EPIC_MALE_01_C","Chaos Cat Crusader – Bluebell","فارس قطط الفوضى – نموذج الجرس الأزرق","Matou de bataille – Jacinthe","猫猫十字军 - 蓝铃铛","貓貓十字軍 - 藍鈴鐺","Chaoskreuzritter Katze – Hasenglöckchenblau","Crociato felino (campanula)","カオスキャットクルセイダー - ブルーベル","카오스냥 크루세이더 - 블루벨","Kociak z pazurem – Dzwoneczek","Felino cibernético (campânula)","Орден котят хаоса — колокольчик","Felino mecanizado (azulón)","Kaaoksen kissaritari – Sinikello","Katkrijger - boshyacint","Kaos Kedisi - Çan Çiçeği","Pendekar Kucing Huru-hara – Lonceng Biru","นักรบแมวเคออส - บลูเบล"
"TID_PINKYBRUISER_BODY_EPIC_MALE_01_D","Chaos Cat Crusader – Graytail","فارس قطط الفوضى - نموذج الذيل الرمادي","Matou de bataille – Chat gris","猫猫十字军 - 灰尾巴","貓貓十字軍 - 灰尾巴","Chaoskreuzritter Katze – Grauschweif","Crociato felino (coda grigia)","カオスキャットクルセイダー - グレイテイル","카오스냥 크루세이더 - 그레이테일","Kociak z pazurem – Szaraczek","Felino cibernético (nuvem cinza)","Орден котят хаоса — серый хвост","Felino mecanizado (nube grisácea)","Kaaoksen kissaritari – Harmaahäntä","Katkrijger - grijsstaart","Kaos Kedisi - Gri Kuyruk","Pendekar Kucing Huru-hara – Ekor Abu-Abu","นักรบแมวเคออส - เกรย์เทล"
"TID_mechamythical_weapon_epic_02_a","Armored Toothpick & Shield – Nebula","رمح خلة الأسنان والدرع – نموذج السديم","Pique et bouclier renforcés - Nebula","重甲牙签与盾牌 - 星云","重甲牙籤與盾牌 - 星雲","Gepanzerter Zahnstocher und Schild – Nebula","Scudo e stuzzicadenti metallici (nebula)","アーマード巨大爪楊枝＋盾 – ネビュラ","창과 방패 중무장 - 네뷸라","Opancerzona Wykałaczka i Tarcza – Mgławica","Palito e escudo blindado (nebulosa)","Бронированные щит и зубочистка — туманность","Palillo y Escudo armado (nebulosa)","Vahvistettu hammastikku ja kilpi – Tähtisumu","Gepantserde tandenstoker en schild - nevel","Zırhlı Kürdan ve Kalkan - Nebula","Tusuk Gigi dan Perisai Berlapis – Nebula","หอกจิ้มและโล่ทรหดหุ้มเกราะ - เนบิวลา"
"TID_mechamythical_weapon_epic_02_b","Armored Toothpick & Shield – Cerulean","رمح خلة الأسنان والدرع – نموذج أزرق سماوي","Pique et bouclier renforcés - Céruléen","重甲牙签与盾牌 - 蔚蓝","重甲牙籤與盾牌 - 蔚藍","Gepanzerter Zahnstocher und Schild – Himmelblau","Scudo e stuzzicadenti metallici (ceruleo)","アーマード巨大爪楊枝＋盾 - セルリアン","창과 방패 중무장 - 세루리안","Opancerzona Wykałaczka i Tarcza – Modra","Palito e escudo blindado (cerúleo)","Бронированные щит и зубочистка — лазурит","Palillo y Escudo armado (celeste)","Vahvistettu hammastikku ja kilpi – Taivaan sini","Gepantserde tandenstoker en schild - oceaan","Zırhlı Kürdan ve Kalkan - Gök Mavisi","Tusuk Gigi dan Perisai Berlapis – Biru Langit","หอกจิ้มและโล่ทรหดหุ้มเกราะ - ซีรูเลียน"
"TID_mechamythical_weapon_epic_01_a","Armored Poison Bow – Nebula","قوس السم – نموذج السديم","Arc toxique renforcé - Nebula","重甲淬毒弓 - 星云","重甲淬毒弓 - 星雲","Gepanzerter Giftbogen – Nebula","Arcoveleno metallico (nebula)","アーマードポイズンボウ - ネビュラ","포이즌 활 중무장 - 네뷸라","Opancerzony Trujący Łuk – Mgławica","Arco tóxico blindado (nebulosa)","Бронированный ядовитый лук — туманность","Arco Cáustico armado (nebulosa)","Vahvistettu myrkkyjousi – Tähtisumu","Gepantserde gifboog - nevel","Zırhlı Zehirli Yay - Nebula","Busur Beracun Berlapis – Nebula","คันศรอาบพิษหุ้มเกราะ - เนบิวลา"
"TID_mechamythical_weapon_epic_01_b","Armored Poison Bow – Cerulean","قوس السم – نموذج أزرق سماوي","Arc toxique renforcé - Céruléen","重甲淬毒弓 - 蔚蓝","重甲淬毒弓 - 蔚藍","Gepanzerter Giftbogen – Himmelblau","Arcoveleno metallico (ceruleo)","アーマードポイズンボウ - セルリアン","포이즌 활 중무장 - 세루리안","Opancerzony Trujący Łuk – Modry","Arco tóxico blindado (cerúleo)","Бронированный ядовитый лук — лазурит","Arco Cáustico armado (celeste)","Vahvistettu myrkkyjousi – Taivaan sini","Gepantserde gifboog - oceaan","Zırhlı Zehirli Yay - Gök Mavisi","Busur Beracun Berlapis – Biru Langit","คันศรอาบพิษหุ้มเกราะ - ซีรูเลียน"
"TID_BOT_NAME_2","Nice","Ice","Ice","寒冰","寒冰","Eis","Gelo","Ice","아이스","Lód","Paladino sagrado","Ice","Ice","Ice","IJs","Ice","Es","Ice"
"TID_tribaldrip_body_epic_female_01_b","Sun Dancer - Kermes Crimson","راقص الشمس - نموذج قرمزي كرمس","Danseuse solaire - Carmin","崇日舞者 - 洋红风暴","崇日舞者 - 洋紅風暴","Sonnenanbeterin – Kermesrot","Danzatore del sole (chermes)","サンダンサー - ケルメスクリムゾン","솔라 댄서 - 컬미스 크림슨","Tancerz słońca – Kermesowy karmazyn","Dançarino solar (carmim carmesim)","Солнечный хоровод — кошенильный красный","Danza solar (tinte escarlata)","Aurinkotanssija – Kermesinpunainen","Zonnedanser - kermesrood","Güneş Dansçısı - Kermes Kırmızısı","Penari Surya - Kermes Merah","เผ่าทินกร - แดงแมลงเคอร์เมส"
"TID_tribaldrip_body_legendary_neutral_01_a","Seer of the Beasthorn - Kermes Crimson","عراف قرن الوحوش - نموذج قرمزي كرمس","Prophète de la Bête - Carmin","兽角先知 - 洋红风暴","獸角先知 - 洋紅風暴","Gehörntes Kleid – Kermesrot","Signore delle bestie (chermes)","ビーストホーン - ケルメスクリムゾン","비스트 혼 - 컬미스 크림슨","Jasnowidz zwierzorogu – Kermesowy karmazyn","Vidência espectral (carmim carmesim)","Повелитель чудовищ — кошенильный красный","Profeta de calamidades (tinte escarlata)","Petosarvitietäjä – Kermesinpunainen","Ziener van de Beesthoorn - kermesrood","Boynuzlu Kahin - Kermes Kırmızısı","Pemburu Tanduk - Kermes Merah","ผู้หยั่งรู้สรรพสัตว์ - แดงแมลงเคอร์เมส"
"TID_tribaldrip_headgear_epic_01_a","Spirit Finder - Kermes Crimson","باحث الأرواح - نموذج قرمزي كرمس","Chasseur d'esprits - Carmin","精灵向导 - 洋红风暴","精靈嚮導 - 洋紅風暴","Seelenfinder – Kermesrot","Sciamano degli spiriti (chermes)","スピリットファインダー - ケルメスクリムゾン","스피릿 파인더 - 컬미스 크림슨","Poszukiwacz dusz – Kermesowy karmazyn","Espiritualista (carmim carmesim)","Искатель духов — кошенильный красный","Invocación de espíritus (tinte escarlata)","Henkien etsijä – Kermesinpunainen","Geestenzoeker - kermesrood","Ruh Bulucu - Kermes Kırmızısı","Pemanggil Arwah - Kermes Merah","หน้ากากเพรียกวิญญาณ - แดงแมลงเคอร์เมส"
"TID_tribaldrip_mount_epic_01_b","Heatkeeper Llambra - Kermes Crimson","لامبرا الدفء - نموذج قرمزي كرمس","Gardien solaire - Carmin","保温座驾 - 洋红风暴","保溫座駕 - 洋紅風暴","Widerwilliger Wollwidder – Kermesrot","Aries scaldacuore (chermes)","ハートキーパー - ケルメスクリムゾン","히트 키퍼 - 컬미스 크림슨","Strażniczka ciepła Jagienka – Kermesowy karmazyn","Carona mística (carmim carmesim)","Вьючная ламбра — кошенильный красный","Carnerito místico (tinte escarlata)","Lämmönvartija-lampakka – Kermesinpunainen","Geïsoleerde llambra - kermesrood","Mistik Büyükbaş - Kermes Kırmızısı","Penjaga Api Suci - Kermes Merah","จามรีอุ่นกาย - แดงแมลงเคอร์เมส"
"TID_tribaldrip_headgear_legendary_01_a","Seer of the Beasthorn - Kermes Crimson","عراف قرن الوحوش - نموذج قرمزي كرمس","Prophète de la Bête - Carmin","兽角先知 - 洋红风暴","獸角先知 - 洋紅風暴","Gehörntes Kleid – Kermesrot","Signore delle bestie (chermes)","ビーストホーン - ケルメスクリムゾン","비스트 혼 - 컬미스 크림슨","Jasnowidz zwierzorogu – Kermesowy karmazyn","Vidência espectral (carmim carmesim)","Повелитель чудовищ — кошенильный красный","Profeta de calamidades (tinte escarlata)","Petosarvitietäjä – Kermesinpunainen","Ziener van de Beesthoorn - kermesrood","Boynuzlu Kahin - Kermes Kırmızısı","Pemburu Tanduk - Kermes Merah","ผู้หยั่งรู้สรรพสัตว์ - แดงแมลงเคอร์เมส"
TID_BATTLE_XP_DESC,"60 000 Battle XP is added each day. 30 000 of this is Boosted XP, which is earned 3x faster than normal XP. You can save up to 7 days' worth of uncollected XP.",تُضاف 60 ألف نقطة خبرة معركة يوميًا.30 ألف منها خبرة معززة، تُكتسب بثلاثة أمثال سرعة نقاط الخبرة العادية. يمكنك توفير ما يصل إلى 7 أيام من الخبرة غير المجمعة في المرة.,"60K pts d'EXP de combat sont ajoutés chaque jour. Parmi eux, 30K sont des unités d'EXP boostée, que tu obtiens 3x plus vite que l'EXP normale. Tu peux cumuler jusqu'à 7 jours d'EXP non récupérée à la fois.",每天会新增6万对战经验值，其中3万是加成经验值，其获取速度是普通经验值的3倍。你可以积攒未获取的经验值，但上限相当于7天的数值。,每天會新增6萬對戰經驗值，其中3萬是加成經驗值，其獲取速度是普通經驗值的3倍。你可以累積未獲取的經驗值，但上限相當於7天的數值。,"60.000 Kampf-XP werden jeden Tag hinzugefügt – davon sind 30.000 geboostete XP, die dreimal schneller als normale XP verdient werden. Nicht abgeholte XP können bis zu sieben Tage lang angesammelt werden.","Ogni giorno vengono messi a disposizione 60.000 XP delle battaglie e 30.000 di questi sono guadagnabili al triplo della velocità normale. Gli XP che non hai ottenuto saranno tenuti da parte, fino a una quantità massima pari a quella guadagnabile in sette giorni.",毎日6万バトルXPが追加され、そのうち3万は3倍速で獲得できるブーストXPです。未回収のXPは最大7日分まで保持されます。,매일 6만 전투 XP가 추가됩니다. 그중 3만은 일반 XP보다 3배 빠르게 획득할 수 있는 부스트 XP입니다. 최대 7일분의 미획득 XP를 모아둘 수 있습니다.,Każdego dnia dodawane jest 60 tys. bojowych PD. 30 tys. z nich ma zwiększony przyrost i zdobywa się je trzykrotnie szybciej niż normalnie. Możesz mieć równowartość 7 dni niezebranych PD jednocześnie.,"Até 60 mil de XP de batalha são adicionados por dia, dos quais 30 mil são de XP acelerado, que pode ser obtido três vezes mais rápido do que o XP normal. É possível armazenar XP não coletado por até sete dias de cada vez.","Каждый день добавляется 60 000 очков боевого опыта. Из них 30 000 — это увеличенный опыт, который зарабатывается в 3 раза быстрее обычного. Опыт можно накапливать, но запас накопленного опыта не может превышать количество, которое можно получить суммарно за 7 дней.","Cada día, hay disponibles 60 000 de EXP. de batalla. 30 000 de dicha cantidad es EXP: potenciada que se obtiene 3 veces más deprisa que la normal. Puedes acumular una cantidad de EXP. sin reclamar equivalente a 7 días.","60 000 taistelu-XP:tä lisätään jokaisena päivänä. Niistä 30 000 on tehostettua XP:tä, jotka ansaitset kolme kertaa nopeammin kuin normaali XP. Voit säästää korkeintaan seitsemän päivän edestä keräämätöntä XP:tä kerrallaan.","Er wordt elke dag 60.000 gevechts-XP toegevoegd. 30.000 hiervan is gebooste XP, die je 3x sneller verdient dan normale XP. Je kunt tot 7 dagen aan niet-verzamelde XP tegelijk opslaan.","Her gün 60.000 savaş DP'si eklenir. Bunların 30.000'i güçlendirilmiş DP'dir, normal DP'ye göre üç kat hızlı kazanılır. Toplamadığın DP'ler en fazla yedi günlük miktarda birikir.",60k XP Pertempuran akan ditambahkan setiap hari. 30k di dalamnya adalah \qXP Digandakan\q yang bisa diraih 3x lebih cepat dari XP normal. XP yang belum diklaim dapat disimpan hingga 7 hari.,"แต่ละวันจะมีค่าประสบการณ์การต่อสู้ที่คุณรับได้ 60,000 แต้ม โดยแบ่งเป็นค่าประสบการณ์บูสต์แล้ว 30,000 แต้ม ซึ่งคุณจะได้รับเร็วกว่าค่าประสบการณ์ปกติ 3 เท่า คุณสามารถสะสมค่าประสบการณ์ที่ยังไม่ได้รับเป็นจำนวนสูงสุดเท่ากับแต้มสำหรับ 7 วันได้ในแต่ละครั้ง"
